timestamp,imu_data
1741258563.963024,GX:-4.60,GZ:9.22,ACC:-1.55
1741258563.9916286,GX:-6.95,GZ:6.71,ACC:0.83
1741258564.0201898,GX:-5.69,GZ:9.34,ACC:2.15
1741258564.0488226,GX:-4.18,GZ:6.59,ACC:-1.87
1741258564.077585,GX:-7.63,GZ:0.18,ACC:-2.80
1741258564.1060662,GX:2.07,GZ:2.46,ACC:0.30
1741258564.1310713,GX:6.77,GZ:-6.75,ACC:2.87
1741258564.16344,GX:-7.77,GZ:-0.92,ACC:2.48
1741258564.1920972,GX:-11.40,GZ:1.92,ACC:0.95
1741258564.220735,GX:-4.65,GZ:0.98,ACC:-0.37
1741258564.249463,GX:-4.02,GZ:8.98,ACC:-0.14
1741258564.2780566,GX:-17.26,GZ:2.10,ACC:-3.86
1741258564.3108535,GX:-14.98,GZ:7.71,ACC:-3.17
1741258564.3395483,GX:-5.50,GZ:5.75,ACC:-7.11
1741258564.3682911,GX:-4.80,GZ:-2.69,ACC:-5.16
1741258564.396897,GX:-2.40,GZ:1.42,ACC:-1.77
1741258564.4296107,GX:-12.24,GZ:-3.83,ACC:-1.70
1741258564.4583056,GX:-9.02,GZ:6.50,ACC:-0.55
1741258564.4910398,GX:-14.63,GZ:-4.79,ACC:-1.60
1741258564.519718,GX:-7.25,GZ:-1.90,ACC:1.85
1741258564.5484931,GX:-13.53,GZ:1.29,ACC:1.31
1741258564.5771446,GX:-26.51,GZ:0.39,ACC:0.27
1741258564.609852,GX:-24.21,GZ:-3.27,ACC:-0.76
1741258564.6385145,GX:-24.50,GZ:-4.00,ACC:-0.53
1741258564.6713126,GX:-19.02,GZ:-3.11,ACC:1.30
1741258564.6999862,GX:-26.40,GZ:4.66,ACC:-2.26
1741258564.7287235,GX:-33.78,GZ:4.97,ACC:-2.77
1741258564.7614856,GX:-28.42,GZ:4.80,ACC:-5.07
1741258564.7904165,GX:-17.24,GZ:-1.44,ACC:-1.39
1741258564.8187516,GX:-25.48,GZ:1.60,ACC:1.84
1741258564.8515344,GX:-40.31,GZ:8.44,ACC:2.54
1741258564.8802161,GX:-35.99,GZ:11.31,ACC:-3.58
1741258564.9130166,GX:-33.83,GZ:4.40,ACC:-5.83
1741258564.9416804,GX:-18.40,GZ:0.51,ACC:-5.28
1741258564.9743767,GX:-15.28,GZ:11.01,ACC:-5.30
1741258565.003114,GX:-29.85,GZ:6.20,ACC:-4.93
